"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.51169027806135,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.556513968914207,TRUE,FALSE,0
"2.2.2.1.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.402186529465426,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",0.502100490671543,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.608524905478747,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2",0.50171479731824,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.1",0.418930497632098,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.59133151167906,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.509132914614252,TRUE,FALSE,0
"2.4.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.552484904986266,TRUE,FALSE,0
"2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.510253052421858,TRUE,FALSE,0
"2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2.2",0.330426601634981,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",0.640145405306687,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.1",0.399265343876422,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.4.2",0.66601522751457,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1",0.600617906598861,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.1",0.609776227864471,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.3.3.2.2.2.2.1",0.36037035776171,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",0.666198958879067,TRUE,FALSE,0
"2.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.54897872096096,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.6067247122074,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.3.2.2",0.329648840161731,TRUE,FALSE,0
"1.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.567120036651626,TRUE,FALSE,0
"2.2.2.2.2.3.2.1.2.2.3.2.2.2.2.2.3.2.2.2.2.2",0.423351840234072,TRUE,FALSE,0
"2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",0.500562436810561,TRUE,FALSE,0
"2.3.2.2.2.3.2.2.2.1.2.2.2.2.2.2.2.3.2.2.2.2",0.632387660847777,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.1",0.52041930725186,TRUE,FALSE,0
"2.4.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",0.583296629391277,TRUE,FALSE,0
"2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1.2.2.2.2.2.2",0.306804996576571,TRUE,FALSE,0
"1.3.2.2.2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.1",0.467426890515721,TRUE,FALSE,0
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.5.2",0.61715940207297,TRUE,FALSE,0
"2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.3.3.2.2.2.2.1",0.349245632739954,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2",0.529833103429095,TRUE,FALSE,0
