"karyotype","count","fitness"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.51169027806135
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.556513968914207
"2.2.2.1.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.402186529465426
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.502100490671543
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.608524905478747
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2",200,0.50171479731824
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.1",200,0.418930497632098
"2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.59133151167906
"2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",200,0.509132914614252
"2.4.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.552484904986266
"2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.510253052421858
"2.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.330426601634981
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",200,0.640145405306687
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.1",200,0.399265343876422
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.4.2",200,0.66601522751457
"2.3.2.2.2.3.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1",200,0.600617906598861
"2.3.2.2.2.3.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.1",200,0.609776227864471
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.3.3.2.2.2.2.1",200,0.36037035776171
"2.3.2.2.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",200,0.666198958879067
"2.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.54897872096096
"2.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",200,0.6067247122074
"2.2.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.3.2.2",200,0.329648840161731
"1.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",200,0.567120036651626
"2.2.2.2.2.3.2.1.2.2.3.2.2.2.2.2.3.2.2.2.2.2",200,0.423351840234072
"2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",200,0.500562436810561
"2.3.2.2.2.3.2.2.2.1.2.2.2.2.2.2.2.3.2.2.2.2",200,0.632387660847777
"2.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.1",200,0.52041930725186
"2.4.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",200,0.583296629391277
"2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1.2.2.2.2.2.2",200,0.306804996576571
"1.3.2.2.2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.1",200,0.467426890515721
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.5.2",200,0.61715940207297
"2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.3.3.2.2.2.2.1",200,0.349245632739954
"2.2.2.2.2.2.3.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2",200,0.529833103429095
"2.2.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",200,0.655860953602645
"2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",200,0.532568428823258
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.3.2.3.2.2.2.2.1",200,0.429352723372539
"2.3.2.2.2.3.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.469338693232532
"2.2.2.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",200,0.710449177507893
"2.2.1.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",200,0.739477210024158
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2",200,0.677904229745348
"2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.456571759612029
"1.2.2.2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",200,0.680539942652784
"2.2.2.2.2.3.2.2.3.2.2.2.2.2.2.3.3.2.2.2.2.1",200,0.512586708732352
"2.2.2.1.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",200,0.619436024620933
"2.2.2.1.2.2.3.2.2.1.2.2.2.2.2.2.2.2.3.2.2.2",200,0.67907948452234
"2.2.2.2.2.2.3.2.2.2.2.3.1.2.2.1.2.2.2.2.2.2",200,0.512199617814118
"1.3.2.2.2.3.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.1",200,0.555812757957848
"2.2.3.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",200,0.641763409991607
"2.3.2.2.2.3.2.2.3.2.2.2.2.2.3.2.2.2.1.2.2.1",200,0.559818096920082
"2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.496756479650527
