"karyotype","count","fitness","weighted_ploidy"
"4.2.1.1.5.4.4.1.3.1.2.2.8.1.2.5.2.0.1.7.0.3",200,0.426345533771755,2.7249361400512
"4.2.1.0.5.4.3.1.3.2.1.2.8.2.2.5.1.0.1.7.1.3",200,0.416381272269161,2.62742194193524
"5.2.1.0.5.4.1.1.3.3.1.2.8.3.3.5.0.0.1.6.0.4",200,0.0798187110192168,2.67246667704547
"5.1.1.0.5.4.1.1.3.3.0.2.8.4.3.5.1.0.1.6.0.4",200,0.0162413292563003,2.6074305403446
"5.0.2.0.3.1.1.1.3.3.0.2.8.4.3.5.2.1.0.6.0.5",200,0.0679709654835676,2.34184429937843
"4.1.3.2.3.1.0.1.2.3.1.2.8.4.5.4.2.2.0.7.0.5",200,0.183711880143777,2.57411172180938
"4.1.3.3.3.1.1.2.0.3.1.2.8.3.5.5.3.0.0.7.0.5",200,0.318504577167388,2.61714308268112
"4.0.4.3.3.1.0.2.0.3.0.2.7.4.4.4.2.1.1.6.0.5",200,0.399835612410215,2.4269896473467
"3.1.3.3.4.2.1.2.0.4.0.1.7.4.3.4.2.1.2.6.1.5",200,0.365144123340256,2.53498621000034
"2.1.3.4.4.3.1.2.1.5.0.1.6.3.4.4.4.2.2.7.1.5",200,0.397907680806023,2.7353936614716
"2.1.4.3.4.3.1.2.1.5.0.2.4.3.3.4.4.2.2.5.0.5",200,0.316606711469657,2.60845047684813
"1.1.4.3.3.4.2.3.2.4.0.2.3.4.3.4.4.2.2.5.0.4",200,0.303891412187244,2.60540843463247
"1.2.5.2.3.4.2.2.0.4.0.2.2.3.3.3.5.2.1.4.1.3",200,0.184873209251209,2.42199539955583
"2.1.5.2.3.4.2.2.0.4.1.3.2.5.3.3.5.2.0.4.2.1",200,0.32432799382729,2.5526623533384
"1.1.6.0.3.4.2.2.0.3.2.3.2.4.2.2.5.3.0.4.3.2",200,0.346410520373073,2.36091557171704
"1.1.5.1.3.4.2.1.1.3.1.2.1.5.2.2.5.3.0.4.1.2",200,0.240097545298324,2.22737566675973
"2.0.6.1.3.4.2.2.3.3.0.2.1.4.1.1.5.3.0.5.1.2",200,0.151810793160636,2.31675677248563
"2.1.6.1.4.4.2.2.3.3.1.1.0.5.1.1.5.1.1.3.1.2",200,0.17471810719672,2.3818715912318
"1.0.5.0.4.5.1.2.4.3.2.0.0.5.1.0.5.1.1.3.2.4",200,0.146631834146958,2.14883329546982
"0.0.5.0.5.5.1.2.5.2.3.0.2.5.1.1.5.1.2.3.2.4",200,0.170244393445834,2.30533768948732
"0.0.4.0.5.4.1.3.5.2.3.0.2.5.2.1.5.0.2.3.3.5",200,0.425546318504314,2.26887977939651
"1.2.4.0.5.4.1.4.3.0.4.0.2.5.4.1.5.0.3.3.3.4",200,0.206315354149901,2.50573738826702
"1.3.4.0.5.5.1.4.2.1.3.0.1.5.5.2.4.0.1.4.3.5",200,0.292511886665639,2.59827673371228
"1.2.4.0.5.5.2.4.2.0.3.0.0.5.4.3.3.0.0.5.3.4",200,0.138188581266073,2.43448151329361
"1.2.5.0.5.5.1.5.2.2.2.1.0.5.4.4.3.0.0.4.4.4",200,0.227144518834255,2.61621216978264
"1.2.5.0.5.4.2.6.2.2.2.0.0.5.4.3.3.2.1.3.5.4",200,0.38089982733052,2.655062576346
"2.2.5.0.5.4.2.6.1.2.2.0.0.5.4.3.3.1.1.4.4.3",200,0.494874469210883,2.65405531983576
"2.1.6.0.5.4.1.8.1.1.3.0.1.4.4.3.3.0.0.4.6.3",200,0.195115860897723,2.67147172939827
"2.1.6.0.4.4.2.9.1.0.4.0.1.3.2.3.2.0.1.4.6.4",200,0.380522904568535,2.61560674923357
"1.1.5.0.5.3.3.9.1.0.4.0.1.2.1.3.4.0.1.4.5.4",200,0.144684506982094,2.48816203896257
"0.0.5.1.3.3.2.8.1.0.4.0.1.2.1.3.3.0.2.3.6.2",200,0.147390427190014,2.1012031245109
"1.0.5.0.3.3.1.7.1.0.3.1.2.2.2.4.3.0.1.3.6.2",200,0.291665487253733,2.10138475606692
"1.0.5.0.3.3.2.7.2.1.3.1.3.2.2.4.3.0.1.2.6.1",200,0.215169657838975,2.2511724350315
"1.0.4.0.1.4.2.7.2.1.3.3.3.2.3.5.3.0.1.2.6.0",200,0.279980464325219,2.25725785302732
"1.0.4.1.0.5.1.7.2.1.1.3.3.1.2.5.3.0.1.2.6.0",200,0.207005909829016,2.09758077268941
"2.1.4.1.0.5.2.8.2.2.0.5.4.2.2.5.3.0.1.3.6.1",200,0.200532480965173,2.58369065760794
