"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.1.2.3.2.2.1.1.2.2.2.2.2.1.2.2.2",0.82247674143172,TRUE,FALSE,0
"2.2.1.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.711605039284894,TRUE,FALSE,0
"3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.714229112278537,FALSE,TRUE,38
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.636966991034388,FALSE,TRUE,37
"2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.660574352923733,FALSE,TRUE,37
"2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.675420180358614,FALSE,TRUE,38
"2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.677717419364513,FALSE,TRUE,37
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.665340326301325,FALSE,TRUE,39
"2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.740309046876077,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.686326296632766,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2",0.736818780737541,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2",0.707875460725693,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2",0.623740563996733,FALSE,TRUE,39
"2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2",0.766472083895503,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2",0.703403884772411,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2",0.684653683006966,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",0.702062367438621,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2",0.694205023251928,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2",0.684819373490169,FALSE,TRUE,38
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2",0.709819154632441,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",0.70135795337631,FALSE,TRUE,36
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",0.673058356590053,FALSE,TRUE,38
"1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.701264376344573,FALSE,TRUE,35
"2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.7679516033378,FALSE,TRUE,37
"2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.742008518142063,FALSE,TRUE,36
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.729293213770466,FALSE,TRUE,38
"2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.705134928902852,FALSE,TRUE,37
"2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.742147723191888,FALSE,TRUE,37
"2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.672628205277525,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2",0.720636471595828,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",0.660408760632375,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2",0.706277967359538,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2",0.646699290237481,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2",0.705052818923643,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",0.719377294596224,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2",0.705459816607188,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",0.70461925596625,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2",0.733017915923556,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2",0.715111539359764,FALSE,TRUE,37
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.678151702154372,FALSE,TRUE,36
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.74034173536162,FALSE,TRUE,37
"3.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.743630495901136,FALSE,TRUE,39
"2.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.673166350171888,FALSE,TRUE,39
"2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.701185962318897,FALSE,TRUE,35
"2.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.692334375740592,FALSE,TRUE,39
"2.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.702520215382146,FALSE,TRUE,37
"2.2.2.2.2.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.757362085783953,FALSE,TRUE,37
"2.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.703618274538613,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2",0.75664263160319,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2",0.737185450186087,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.692160329022771,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2",0.65537513763936,FALSE,TRUE,40
"2.2.2.2.2.2.1.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2",0.796441121704414,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2",0.733220463556477,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2",0.701936467972449,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",0.733553967719023,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2",0.696019692699092,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2",0.70815153734512,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2",0.725028786135434,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2",0.75130558017486,FALSE,TRUE,39
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",0.713561221271617,FALSE,TRUE,39
"1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.71349759447627,FALSE,TRUE,38
"2.1.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.798215772062183,FALSE,TRUE,38
"2.2.1.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.772327831385256,FALSE,TRUE,35
"2.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.765581384534043,FALSE,TRUE,38
"2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.732461105824631,FALSE,TRUE,37
"2.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.7603113462663,FALSE,TRUE,38
"2.2.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.700412643288084,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2",0.74655158504903,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2",0.68315183543124,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2",0.720436511800742,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2",0.763229165078106,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2",0.662724152713221,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2",0.717000293701744,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",0.745889820671885,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2",0.719708351309032,FALSE,TRUE,37
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",0.743692630578733,FALSE,TRUE,37
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2",0.753194892150712,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2",0.74320235070671,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.676288846201872,FALSE,TRUE,38
"2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",0.73734636585942,FALSE,TRUE,38
"3.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.79634886373194,FALSE,TRUE,35
"2.3.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.69717404430041,FALSE,TRUE,34
"2.2.3.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.721352443424208,FALSE,TRUE,36
