"karyotype","count","fitness","weighted_ploidy"
"5.4.1.4.0.2.3.1.0.3.1.1.2.0.0.5.1.3.1.2.6.2",200,0.367185299171741,2.21963471224903
"5.3.1.4.1.2.1.1.0.4.1.4.2.0.0.4.2.3.1.2.6.0",200,0.256582557654649,2.23548106664272
"5.3.0.4.1.1.0.2.0.4.0.5.1.2.0.5.2.2.1.2.7.2",200,0.395749129954904,2.19127757665236
"4.4.0.3.1.2.2.2.1.5.0.5.1.0.2.5.2.2.1.2.6.2",200,0.256730780376933,2.36793750921708
"4.3.1.3.1.2.1.1.1.4.0.4.1.0.3.5.3.1.1.2.6.2",200,0.408643170426965,2.19034457192889
"4.3.0.4.0.2.1.1.2.4.0.2.1.0.3.5.4.1.0.3.5.1",200,0.435504615320528,2.07687693704115
"5.4.0.4.0.2.0.1.4.5.0.1.0.0.3.5.4.1.1.3.5.1",200,0.35953733636561,2.26935294401559
"5.4.1.4.0.2.0.1.5.5.0.1.0.0.2.5.4.3.2.1.5.1",200,0.147095310711864,2.38245721074787
"6.3.1.5.0.2.2.0.4.5.0.0.1.0.2.5.2.3.2.2.5.2",200,0.181560332645436,2.43879555066197
"6.3.1.5.0.3.2.1.4.5.0.0.0.0.1.4.3.3.3.1.4.2",200,0.142859700634982,2.45269872938871
"4.4.2.5.0.1.1.1.5.5.1.1.1.0.2.4.3.3.4.1.4.2",200,0.339075597281526,2.49560239154545
"2.3.2.5.0.1.1.1.4.5.1.2.1.0.2.2.2.2.4.1.2.2",200,0.474286586761116,2.08414063963059
"2.3.3.4.0.1.0.2.4.5.2.2.3.0.3.4.2.1.4.1.2.2",200,0.510331169123461,2.27891741964789
"3.2.2.4.0.2.1.1.4.4.2.2.4.1.2.5.2.1.5.0.1.2",200,0.485611326254661,2.28479633688347
"3.2.2.4.0.2.2.1.3.4.3.2.4.1.0.4.2.2.5.0.1.1",200,0.279791111126926,2.24697791238248
"3.3.2.5.0.1.1.2.4.4.2.2.4.0.0.5.0.2.5.0.1.1",200,0.35792300491393,2.27045011143476
"2.2.2.5.1.1.2.1.5.4.2.1.3.0.0.5.0.1.5.1.0.1",200,0.358913621010882,2.10791511017503
"3.2.3.5.1.0.2.1.4.3.1.1.3.1.1.5.0.4.5.1.0.0",200,0.250440475770261,2.2013075946469
"3.1.4.4.1.0.3.1.4.3.1.1.3.1.1.5.0.4.4.0.1.0",200,0.320381659769745,2.14874471742975
"4.1.4.3.1.1.4.1.4.5.2.1.2.1.0.5.1.3.2.0.0.0",200,0.125648249727646,2.29279984429866
"4.2.4.3.2.3.4.2.4.3.2.0.2.1.0.4.1.4.2.0.0.0",200,0.18865240780111,2.4665900719478
"4.3.5.3.2.1.4.4.4.3.2.0.1.2.0.4.0.4.1.0.0.1",200,0.514294895118151,2.56772991510089
"3.3.5.3.0.2.4.4.4.3.2.1.1.2.1.5.0.4.0.0.0.1",200,0.607537920995789,2.50712482231514
"4.3.6.4.0.0.4.3.5.3.0.1.1.2.2.5.1.3.1.1.2.0",200,0.389913315088441,2.60781208762087
"4.3.6.5.0.0.3.4.5.0.0.1.2.2.3.5.1.2.1.2.1.1",200,0.311555868998418,2.60055986050361
"5.3.6.5.0.1.2.4.5.0.0.0.3.2.3.5.1.3.1.3.1.1",200,0.265943816950282,2.73493297162853
"4.3.6.4.0.2.2.4.3.0.0.0.2.1.2.5.0.1.1.4.1.0",200,0.374188797886182,2.35269596389452
"4.2.6.3.0.4.0.2.1.0.1.0.2.2.3.5.2.1.1.4.1.0",200,0.274062938232184,2.19063748725209
"1.3.6.3.1.4.2.2.1.0.1.0.3.1.3.4.2.3.0.4.1.0",200,0.317365913045178,2.19573859307334
"1.3.5.3.3.4.2.2.1.1.2.0.4.0.3.5.2.3.1.3.1.0",200,0.446488040834777,2.37852020309296
"1.5.6.4.2.4.2.0.0.0.2.1.4.0.3.5.3.3.3.2.1.1",200,0.39414802669383,2.53470508910569
"1.5.5.4.1.4.1.1.0.1.2.1.3.0.5.5.2.3.3.1.3.1",200,0.254119432221528,2.45647649573662
"2.5.5.3.1.3.1.1.0.1.4.1.4.1.5.3.2.4.3.0.3.0",200,0.256182580570468,2.51350294832992
"3.5.4.4.1.3.1.0.0.1.4.0.3.1.5.3.0.3.5.0.3.0",200,0.131141911715178,2.41557055147882
"4.5.5.3.1.4.0.0.0.1.5.0.3.0.5.3.0.2.4.0.3.1",200,0.0997431526789484,2.48804630545862
"3.5.6.2.2.3.0.0.0.1.6.0.3.0.5.3.0.1.4.0.4.1",200,0.060917322426713,2.44327421855187
"3.5.6.1.2.3.1.1.0.1.6.0.2.2.5.2.0.3.5.0.4.1",200,0.295556859456237,2.56258511295494
"2.5.4.2.4.2.1.1.1.1.6.0.2.2.5.2.1.4.5.1.4.0",200,0.159158350066745,2.5808768236193
"2.5.3.2.5.1.2.1.1.0.5.0.2.3.5.2.0.4.5.0.3.0",200,0.1855565581944,2.44714846902262
"3.4.3.1.5.3.3.1.0.0.5.1.3.3.5.2.0.3.5.1.3.1",200,0.231667295505147,2.60771900627884
"3.5.4.1.4.3.2.0.0.1.5.0.3.4.4.1.0.3.4.0.3.1",200,0.304219951292669,2.51959409084445
"4.4.4.2.4.4.2.0.0.1.5.0.2.4.5.1.0.3.4.0.3.1",200,0.329037922993631,2.64321499513975
"3.5.4.3.5.3.3.0.0.1.5.0.1.4.5.1.0.3.5.0.3.0",200,0.360598259407598,2.72911572705595
"2.5.4.3.5.3.2.0.2.1.5.0.2.4.5.1.0.4.5.0.3.0",200,0.165585411331052,2.75110689871837
"3.4.6.3.5.3.1.0.2.1.4.0.1.4.5.0.0.4.5.0.3.1",200,0.176173425825623,2.73546767604111
"3.4.6.3.5.2.1.0.1.1.5.0.1.4.5.0.0.5.3.0.4.1",200,0.211866949455728,2.67833169307101
"3.5.6.2.5.3.2.0.0.0.5.0.1.5.3.2.0.5.3.0.4.1",200,0.230671525119978,2.74569750679944
"3.5.5.0.5.1.1.1.2.0.5.0.1.4.3.1.0.5.2.0.6.1",200,0.407645546644579,2.46036400811338
"3.5.6.0.3.1.1.1.1.0.3.0.2.4.2.3.0.4.3.0.6.0",200,0.380835529235673,2.30284296872104
"2.5.6.0.4.1.3.1.3.1.4.0.0.4.2.3.0.4.3.0.7.1",200,0.408223952570722,2.53440703952434
