"status","landscape_id","p_index","p_mis","replicate_id","final_population","final_diversity","final_peak_percent"
"completed","landscape_19",1,0.00025,1,10305,61,0
"completed","landscape_19",1,0.00025,2,10315,64,0
"completed","landscape_19",1,0.00025,3,10350,61,0
"completed","landscape_19",2,0.00268408197856043,1,10299,133,0
"completed","landscape_19",2,0.00268408197856043,2,10318,147,0
"completed","landscape_19",2,0.00268408197856043,3,10301,121,0
"completed","landscape_19",3,0.00513797160410322,1,10294,190,0
"completed","landscape_19",3,0.00513797160410322,2,10307,190,0
"completed","landscape_19",3,0.00513797160410322,3,10287,192,0
"completed","landscape_19",4,0.00644100280404091,1,10298,247,0
"completed","landscape_19",4,0.00644100280404091,2,10297,241,0
"completed","landscape_19",4,0.00644100280404091,3,10313,242,0
"completed","landscape_19",5,0.01,1,10278,248,0
"completed","landscape_19",5,0.01,2,10276,253,0
"completed","landscape_19",5,0.01,3,10282,305,0.00972573429293912
