"karyotype","count","fitness"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.433841155345078
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.424529110062542
"2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.510528198662068
"2.2.2.1.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.489534931690743
"2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.502703117270571
"2.1.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.523584947408524
"2.1.2.1.3.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.600730980667654
"2.1.2.1.3.2.2.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.592352673936528
"2.1.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",200,0.508996898794716
"2.1.2.1.3.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.3",200,0.496943559140643
"2.1.2.1.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.651304969865853
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",200,0.420527441263149
"2.1.2.1.3.2.3.2.1.2.2.2.2.2.2.1.2.3.2.2.2.2",200,0.61491888469213
"2.1.2.1.3.2.3.2.1.2.2.2.2.2.2.1.2.3.3.2.2.2",200,0.674668195990326
"3.1.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",200,0.502834053934157
"2.1.3.1.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.669129976504642
"2.1.2.1.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.1",200,0.620294401005719
"2.1.2.1.3.2.3.2.1.2.2.2.1.2.2.1.2.3.2.2.2.2",200,0.593788548753176
"2.1.2.1.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.440446200733462
"3.1.2.1.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.632734653229482
"2.1.3.2.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.654277058959632
"2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1",200,0.461035170718256
"3.1.2.1.3.2.3.2.1.2.2.2.2.2.2.2.2.3.2.2.2.1",200,0.604556544424386
"2.2.2.1.2.2.3.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2",200,0.427630921379636
"2.2.3.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.1",200,0.465834374825896
"2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.1",200,0.453073512838774
"3.1.2.1.3.2.3.2.1.2.2.2.2.2.2.2.1.3.2.2.2.2",200,0.569248832135171
"2.1.3.2.3.2.3.2.1.2.2.2.2.2.2.2.2.4.2.2.2.2",200,0.621572990684551
"2.1.2.1.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.3",200,0.473483966447902
"2.1.3.2.3.2.3.2.1.2.2.1.2.2.2.2.2.3.2.2.2.2",200,0.695541062502699
"2.1.3.2.3.2.3.2.1.2.1.2.2.2.2.2.2.4.2.2.2.2",200,0.547223339047031
"2.1.2.1.3.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",200,0.568488803377315
"2.1.2.1.3.2.3.2.1.2.2.1.2.2.2.2.2.3.2.2.2.1",200,0.639541542373867
"2.1.2.1.3.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.3",200,0.579227189142098
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.350465889398614
"2.1.3.2.3.2.3.2.1.1.2.2.2.2.2.2.2.3.2.2.2.2",200,0.649250410015094
"2.1.3.2.3.2.3.2.1.2.2.2.2.3.2.2.2.4.2.2.2.2",200,0.583181908531818
"2.1.3.2.3.2.3.2.1.3.2.2.2.3.2.2.2.4.2.2.2.2",200,0.548596932061818
"2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.1",200,0.373474988494489
"2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2",200,0.462408877550409
"2.1.3.2.3.2.3.3.1.2.1.2.2.2.2.2.2.4.2.2.2.2",200,0.528074462781222
"2.2.2.2.3.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.1",200,0.491766730879771
"2.2.2.1.2.2.3.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.535028462886788
"2.1.2.2.3.2.3.2.1.2.1.2.2.2.2.2.2.4.2.2.2.2",200,0.4954894114361
"2.1.3.2.3.2.3.3.1.2.2.2.2.2.2.2.2.3.2.2.2.2",200,0.631347487705598
"3.1.2.1.3.2.3.2.1.2.2.2.2.3.2.2.1.3.2.2.2.2",200,0.524743584792956
"2.1.2.1.3.3.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.3",200,0.625687581133535
"2.1.2.2.3.3.3.2.1.2.1.2.2.2.2.2.2.4.2.2.2.2",200,0.648679423467946
"2.3.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2",200,0.267853175327449
"2.1.2.1.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2",200,0.576848792252898
