"karyotype","count","fitness"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.456995801000539
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.524665627279592
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.1.2.2.2.2",200,0.498009702029463
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.494452193291613
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.508565981836244
"2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.518089784761549
"2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.562182044002528
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.3.2.1.2.2.2.2",200,0.500092785355705
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",200,0.44733898503017
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1",200,0.5208637670706
"2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.1.2.2.2.2",200,0.618156489058615
"2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2",200,0.408590182751566
"2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.3.2.1.2.2.2.2",200,0.511676163624073
"2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.1.2.1.2.2.2.2",200,0.564807306708388
"2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.537328687824245
"2.2.2.2.2.2.2.2.2.1.2.2.1.2.2.2.2.1.2.2.2.2",200,0.632620313101613
"2.1.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.1.2.2.2.2",200,0.520652923286453
"2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.3.2.2",200,0.528904775499653
"2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.1.2.2.2.2",200,0.460877689749166
"2.2.2.1.2.1.2.3.2.2.2.2.2.2.2.1.2.1.2.2.2.2",200,0.546423472080209
"2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1",200,0.548080145075824
"2.1.2.2.2.2.2.3.2.2.2.3.2.2.2.2.2.1.2.2.2.2",200,0.567598632485195
"2.2.2.2.3.2.2.2.2.2.2.2.2.2.1.3.2.1.2.2.2.2",200,0.453631927601067
"2.2.3.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1.2.2.2.1",200,0.568035455306797
"2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.3.2.1.2.2.2.2",200,0.469758479363455
"2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.3.2.1.1.2.2.2",200,0.447997194291741
"3.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.483886930907895
"2.2.2.2.2.2.3.2.2.2.3.2.2.2.2.2.2.1.2.2.2.2",200,0.451055921557894
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.2.2",200,0.427633683871821
"2.2.2.1.2.1.2.3.2.2.2.2.2.2.2.1.3.1.2.2.2.2",200,0.580270075294734
"3.1.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1",200,0.472729851948711
"2.2.2.2.3.2.2.2.1.2.2.2.2.2.1.3.2.1.2.2.2.2",200,0.425075235370732
"2.2.2.2.2.2.2.2.2.2.2.2.1.1.2.2.2.1.2.2.2.2",200,0.64698542001863
"2.2.2.2.3.2.2.2.2.2.2.2.2.2.1.3.3.1.2.2.2.2",200,0.48544945837227
"2.2.2.2.2.2.2.2.1.2.1.2.2.2.2.3.2.1.1.2.2.2",200,0.47464015268152
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.3.2.2.2",200,0.550332860577087
"2.2.2.1.2.1.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.511362256509239
"2.2.2.1.2.2.2.3.2.2.2.2.2.1.2.1.2.1.2.2.2.2",200,0.583763418788534
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",200,0.486416581426635
"2.3.2.2.2.2.1.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2",200,0.472731988590902
"2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.560720040365913
"2.2.2.2.3.1.2.2.2.2.2.2.2.2.1.3.3.1.2.2.2.2",200,0.490181072028147
"2.3.2.1.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.3.2.2",200,0.485609204612791
"2.2.2.2.2.1.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2",200,0.418973114916342
"2.3.2.1.2.2.3.3.2.2.2.2.2.2.2.2.2.1.2.3.2.2",200,0.466024222440937
"2.2.3.2.2.2.3.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2",200,0.520033570302164
"2.2.2.2.3.2.2.2.3.2.2.2.2.2.2.2.2.1.2.2.2.2",200,0.512616647874274
"2.2.3.2.2.2.2.2.2.2.2.2.2.1.2.2.2.1.1.2.2.1",200,0.503016075196544
"2.2.2.2.3.2.2.2.2.2.2.1.2.2.1.3.2.1.2.2.2.2",200,0.471741504995287
"2.2.2.1.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.1.2",200,0.517315340787675
