"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.475082654795903,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.469527796008535,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2",0.476704712872134,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2",0.506507336880508,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.3",0.495507532613292,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.1.2.2.3.2.2.2.2.2.2.2.2",0.478399357609205,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2.2",0.552079050793492,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2",0.531348383098704,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.2.1.2.2.2.2.2.2.2.1.2.2.2",0.509941122855653,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.3.1.2.3.2.2.2.2.2.2.2.2.2",0.552823627534376,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2",0.528133986924406,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.3.2.1.2.2.3.2.2.2.2.2.2.2.2",0.456076942991453,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.511675990394693,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.2.3.1.2.3.2.2.2.2.2.2.3.2.2",0.573120682466904,TRUE,FALSE,0
"2.2.2.4.2.2.2.2.2.2.1.2.3.2.2.2.2.2.2.2.2.2",0.516916446103425,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2",0.544266809147251,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2.2.2",0.531821855375399,TRUE,FALSE,0
"2.2.2.4.2.2.2.2.2.2.1.2.3.2.2.2.2.2.3.2.2.2",0.509108834680374,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.1.2.2.3.1.2.2.2.2.2.2.2",0.508289545814666,TRUE,FALSE,0
"3.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.3",0.511831978945633,TRUE,FALSE,0
"3.2.2.3.2.2.2.2.2.3.1.2.3.2.2.2.2.2.2.2.2.2",0.572128899513084,TRUE,FALSE,0
"2.2.2.4.2.2.2.2.2.2.1.2.3.2.2.2.2.2.3.3.2.2",0.533420851643032,TRUE,FALSE,0
