"karyotype","count","fitness","is_peak"
"0.1.4.0.5.4.5.7.0.2.6.4.4.2.0.1.1.0.1.7.5.1",200,0.237088214755129,FALSE
"0.0.2.5.4.1.5.1.1.4.5.5.6.5.3.1.3.5.1.3.0.4",1,0.381194698061804,FALSE
"0.2.4.0.5.2.4.7.2.1.6.5.2.2.0.1.2.0.0.7.5.2",195,0.409243375204594,FALSE
"0.2.5.0.5.1.3.7.1.2.5.5.4.3.0.0.1.0.0.7.4.2",206,0.446146005418362,FALSE
"0.1.3.0.3.3.5.7.1.3.5.3.4.3.0.3.1.0.0.7.4.1",1,-0.0672506145083031,FALSE
"1.1.2.0.5.3.3.6.0.4.5.3.5.4.0.3.1.1.3.4.2.1",1,0.561080278396825,FALSE
"0.0.1.5.4.2.2.1.1.4.3.5.5.5.3.2.3.4.2.4.0.3",1,0.529470576749425,FALSE
"1.2.4.0.5.1.2.7.2.2.8.2.5.2.0.2.2.0.0.5.1.5",201,0.337697830011582,FALSE
"1.2.2.0.5.0.3.7.3.2.7.2.5.0.0.2.2.0.1.5.2.5",201,0.323401777635506,FALSE
"0.4.4.2.4.1.0.7.1.3.5.4.3.0.0.4.2.4.0.7.3.5",202,0.045698347586379,FALSE
"0.2.3.1.5.1.0.8.2.3.5.3.3.0.0.2.2.4.0.6.3.5",1,0.214041799780635,FALSE
"0.3.4.0.3.0.0.8.2.3.8.3.4.0.0.3.1.5.0.7.2.5",1,-0.0881652974849852,FALSE
"0.1.3.0.4.3.5.6.2.4.4.4.4.4.0.2.0.1.0.5.3.1",1,0.171860527527061,FALSE
"0.3.4.0.3.0.0.8.2.3.8.3.4.0.0.3.2.4.0.7.2.5",199,0.10814649421823,FALSE
"0.3.4.0.5.1.4.6.2.2.4.3.4.3.1.0.3.2.0.6.4.4",200,0.0606841675762387,FALSE
"1.3.4.1.5.1.4.7.3.1.4.2.4.2.1.0.2.2.0.7.3.4",198,0.3278346770709,FALSE
"0.3.1.4.5.2.0.5.3.1.5.3.0.1.1.4.3.2.1.7.4.4",203,0.321691268491065,FALSE
"1.1.2.0.5.4.3.6.0.4.5.3.5.4.0.3.1.1.3.4.2.1",204,0.521160470860081,FALSE
"1.3.2.1.5.1.0.6.3.0.6.3.1.2.0.2.1.4.1.6.4.4",205,0.363878406062171,FALSE
"0.2.4.0.5.4.4.7.1.2.5.3.4.3.0.3.1.0.1.7.4.1",202,0.296351426222347,FALSE
"0.1.1.1.4.4.2.4.0.5.4.4.6.5.0.2.5.0.4.5.0.2",1,0.455342890624004,FALSE
"1.2.3.1.4.2.3.6.3.1.6.3.6.1.0.0.1.2.1.6.3.4",205,0.239354656091849,FALSE
"0.3.5.0.4.0.1.8.2.3.7.3.3.0.1.2.2.4.0.6.1.5",200,0.318892383502399,FALSE
"0.1.3.0.4.3.5.7.1.3.5.3.4.3.0.3.1.0.0.7.4.1",198,0.0888334306404723,FALSE
"2.0.2.0.4.3.4.6.1.5.5.4.5.4.0.3.0.0.0.5.2.1",200,0.27016984332998,FALSE
"2.0.0.0.4.4.4.6.1.4.6.4.6.4.0.3.4.0.4.5.0.2",201,0.515931410418901,FALSE
"0.3.4.0.4.0.0.6.2.2.8.3.5.0.0.3.2.0.1.7.4.5",1,0.270336204459953,FALSE
"1.1.3.1.4.2.3.6.3.1.6.3.6.1.0.0.1.2.1.6.3.4",1,0.2287232294625,FALSE
"0.2.5.0.5.2.4.7.1.2.4.5.4.2.1.0.3.1.0.6.5.2",203,0.209502638634269,FALSE
"0.3.4.0.3.0.0.8.2.3.8.3.4.0.0.3.3.3.0.7.2.5",1,0.258392555565519,FALSE
"0.2.3.2.5.1.0.8.2.3.5.3.3.0.0.3.2.4.0.6.3.5",202,0.192457463641813,FALSE
"0.1.2.0.5.4.3.5.0.4.5.4.7.4.0.3.3.0.4.6.0.3",203,0.69775008218616,FALSE
"0.0.0.5.5.3.0.2.0.5.3.4.5.5.3.3.3.2.3.4.0.4",1,0.217356369265542,FALSE
"0.1.1.1.5.4.2.4.0.5.4.4.6.5.0.2.5.0.4.5.0.2",201,0.358089537369855,FALSE
"1.2.4.1.4.1.4.7.3.1.5.2.5.1.0.0.1.2.0.6.3.4",204,0.416786939587937,FALSE
"0.1.2.5.3.1.3.1.1.5.5.5.5.5.3.1.3.4.2.3.1.3",204,0.29141411529246,FALSE
"0.1.2.0.4.5.3.5.0.5.3.4.7.5.0.2.4.0.3.6.0.3",200,0.502544390554982,FALSE
