"lineage_id","n_passages","endpoint_uid","pdx_id","untreated_entire_chain","has_alfak_input","pooled_weighted_ploidy","initial_weighted_ploidy","final_weighted_ploidy","total_cells"
"SA609_X10_l_10_d1_0_d2_0",10,54,"SA609",TRUE,TRUE,2.54810748007903,2.78645626854613,2.49787497130331,3243
"SA532_X9_l_8_d1_0_d2_0",8,39,"SA532",TRUE,TRUE,2.50233849160623,2.60988120144513,2.48346266623448,2400
"SA1035U_X8_l_5_d1_0_d2_0",5,30,"SA1035",TRUE,TRUE,1.76415922224923,1.76504326090546,1.77065436309252,2015
"SA535_CISPLATIN_CombinedU_X9_l_5_d1_0_d2_0",5,53,"SA535",TRUE,TRUE,2.84046686310248,2.7750299429894,2.9390513323319,1511
