"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.454830220122036,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.413587672079962,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.518099753834263,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.54254393705678,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2",0.57129149624492,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.3.2.2.3.2.2.2.2.2.2.2.2.2.2",0.531398179154526,TRUE,FALSE,0
"2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.427741053104597,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.3",0.457021485257255,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.3.3.2.2.2.2.2.2.2.2.2",0.55250452843718,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.538837378183378,TRUE,FALSE,0
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.406530828871706,TRUE,FALSE,0
"2.2.2.2.2.2.4.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.343141299223377,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.3.3",0.319283387096963,TRUE,FALSE,0
"2.2.2.2.2.2.1.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2",0.558658661520022,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.3.2.2.2.2.2.3",0.480704894004924,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.3.2.1.2.2.2.2.2.2.2.2",0.610854871372348,TRUE,FALSE,0
"3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.550290366417027,TRUE,FALSE,0
"2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.514928640460317,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.1.2.2.2.2.3",0.348718130586154,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.3.2.2.2.2.1.2",0.557331113993462,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2",0.411145735562694,TRUE,FALSE,0
"2.3.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2.2",0.323751918432924,TRUE,FALSE,0
"2.2.1.2.2.2.1.2.2.2.2.3.2.1.2.1.2.2.2.2.2.2",0.573153272572945,TRUE,FALSE,0
