label,datasetname,timepoint,sample_id,library_ids,uid,parent,PDX_id,on_treatment,x,y
TNBC-SA609 UnRx Line 1,SA609,X6,SA609X6XB01899,A95632D,69,63,SA609,n,X6,-3
TNBC-SA609 Rx Line 2,SA609R2,X6,SA609X6XB03387,A118833B,70,65,SA609,y,X6,0
TNBC-SA609 Rx Line 1,SA609R1,X6,SA609X6XB03400,A110673A,71,66,SA609,y,X6,2
TNBC-SA609  Holiday Line 1,SA001,X6,SA609X6XB03401,A98284B,72,66,SA609,n,X6,3
TNBC-SA609  Holiday Line 1,SA609H1,X6,SA609X6XB03402,A110632A,73,66,SA609,n,X6,4
TNBC-SA609 Rx Line 1,SA000,X6,SA609X6XB03404,A98284A,74,66,SA609,y,X6,1
TNBC-SA609 UnRx Line 2,SA609UnBU,X6,SA609X6XB03447,A98234B;A98258B,75,61,SA609,n,X6,5
TNBC-SA609 UnRx Line 1,SA609,X7,SA609X7XB02184,A95728A,76,69,SA609,n,X7,-3
TNBC-SA609 Rx Line 1,SA000,X7,SA609X7XB03505,A98176A,77,74,SA609,y,X7,2
TNBC-SA609 Rx Line 1,SA609R1,X7,SA609X7XB03506,A110673B,78,74,SA609,y,X7,1
TNBC-SA609  Holiday Line 1,SA609H1,X7,SA609X7XB03508,A110632B,79,74,SA609,n,X7,3
TNBC-SA609  Holiday Line 1,SA001,X7,SA609X7XB03510,A98176B,80,74,SA609,n,X7,4
TNBC-SA609 UnRx Line 2,SA609UnBU,X7,SA609X7XB03554,A98234A,81,75,SA609,n,X7,5
TNBC-SA609 UnRx Line 2,SA609U2,X7,SA609X7XB03556,A118833A,82,75,SA609,n,X7,6
TNBC-SA609 Rx Line 2,SA609R2,X7,SA609X7XB03573,A118830A,83,70,SA609,y,X7,-1
TNBC-SA609  Holiday Line 2,SA609H2,X7,SA609X7XB03574,A118862B,84,70,SA609,n,X7,-2
TNBC-SA609 Rx Line 2,SA609R2b,X7,SA609X7XB03578,A118862A,85,70,SA609,y,X7,0
TNBC-SA609 UnRx Line 1,SA609U1,X8,SA609X8XB02311,A110618A,86,76,SA609,n,X8,-4
TNBC-SA609 UnRx Line 1,SA609,X8,SA609X8XB02312,A96184A,87,76,SA609,n,X8,-3
TNBC-SA609 UnRx Line 1,SA609,X9,SA609X9XB02360,A96217B,88,87,SA609,n,X9,-3
