"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.56936805378102,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.500796069953366,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2",0.608971154433505,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.483342925226704,TRUE,FALSE,0
"2.2.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.1.2.2.2.2",0.472091192576941,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.482366492771681,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2",0.336415195378601,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2",0.546044898736834,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1.2.2",0.395322264205976,TRUE,FALSE,0
"2.2.2.2.2.2.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2",0.555284835869729,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.1.2",0.495076502134302,TRUE,FALSE,0
"2.2.2.1.2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2",0.509503148157089,TRUE,FALSE,0
"2.2.2.3.2.2.2.3.3.2.2.2.2.2.2.2.2.1.2.2.2.2",0.359760711519803,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.3.2.2.2.2.2.2.2.2.2.1.2.2",0.412630392955144,TRUE,FALSE,0
"2.3.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.2.1.2",0.50909334829636,TRUE,FALSE,0
"2.2.2.3.3.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.2",0.493175382009581,TRUE,FALSE,0
"2.2.2.1.2.2.2.2.2.2.3.2.2.2.2.2.2.3.2.2.2.2",0.63741935628619,TRUE,FALSE,0
"2.2.2.2.2.2.3.2.2.2.2.2.2.2.2.2.2.2.2.1.2.1",0.254900123466222,TRUE,FALSE,0
"2.2.2.1.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2.2",0.608183354249667,TRUE,FALSE,0
"2.2.2.3.3.2.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2.2",0.538711355500613,TRUE,FALSE,0
"2.2.2.1.2.2.2.2.2.2.3.2.3.2.2.2.2.2.2.2.2.1",0.460129993540632,TRUE,FALSE,0
